state,scheme,description,eligibility,benefits,website
Maharashtra,Mahila Arthik Vikas Mahamandal,Interest subsidy on SHG loans up to ₹5 lakhs,Women entrepreneurs and SHGs,Low interest loans and skill training,https://mahamandal.org
Maharashtra,Rajmata Jijau Mahila Shakti Yojana,Financial support for women in business,Women aged 18-55 years,₹1 lakh interest-free loan,https://womenchild.maharashtra.gov.in
Karnataka,Stree Shakti Programme,Microenterprise grants for women SHGs,Women SHG members,Grants up to ₹50000 per member,https://rdpr.kar.nic.in
Karnataka,Grameen Mahila Swayamsiddha Yojana,Economic empowerment for rural women,Rural women groups,₹10000-50000 revolving fund,https://karnatakaone.gov.in
Tamil Nadu,Mahalir Thittam,Skill and credit support for rural women,Women in rural areas,Free skill training and micro-credit,https://tnrd.gov.in
Tamil Nadu,Pudhumai Penn Scheme,Financial assistance for girl students,Girl students pursuing higher education,₹1000 per month financial aid,https://cm.tn.gov.in
Delhi,Women Welfare Loan Scheme,Financial support for small business women,Women entrepreneurs in Delhi,Loans up to ₹5 lakhs at 4% interest,https://wcddel.in
Delhi,Ladli Scheme,Savings scheme for girl child,Girl child born in Delhi,₹5000-11000 at different stages,https://wcddel.in/ladli.html
Gujarat,Sakhi Mandal Yojana,Support for women self-help groups,Women SHG members in Gujarat,Interest subsidy and grants,https://vibrantgujarat.com
Gujarat,Namo Saraswati Yojana,Education support for girl students,Girl students in standards 11-12,₹10000 annual financial aid,https://digitalgujarat.gov.in
Uttar Pradesh,Mukhyamantri Kanya Sumangala Yojana,Financial support from birth to graduation,Girl child in UP,₹15000 in installments till graduation,https://mksy.up.gov.in
Uttar Pradesh,UP Bhagyalakshmi Yojana,Financial security for girl child,Below poverty line families,₹50000 on turning 21 years,https://balvikasup.gov.in
Rajasthan,Indira Gandhi Matritva Poshan Yojana,Nutrition support for pregnant women,Pregnant and lactating mothers,₹6000 in installments,https://wcd.rajasthan.gov.in
Rajasthan,Mukhyamantri Rajshri Yojana,Support for girl child education,Girl child born in Rajasthan,₹50000 till class 12,https://wcd.rajasthan.gov.in
West Bengal,Kanyashree Prakalpa,Conditional cash transfer for girls,Girls aged 13-18 years,₹750 annually + ₹25000 one-time,https://wbkanyashree.gov.in
West Bengal,Rupashree Prakalpa,Marriage assistance for girls,Girls from economically weak families,₹25000 one-time assistance,https://wb.gov.in
Andhra Pradesh,Mahila Samakhya Programme,Women's empowerment through education,Women in rural AP,Free education and skill training,https://apms.ap.gov.in
Andhra Pradesh,YSR Cheyutha,Financial assistance to women,Women from SC/ST/BC/Minority,₹18750 annual support,https://www.apssdc.in
Telangana,Kalyana Lakshmi Scheme,Financial assistance for marriage,Women getting married,₹1 lakh financial support,https://ts.meeseva.telangana.gov.in
Telangana,Aasara Pension Scheme,Pension for single women,Widows aged above 18 years,₹2016 monthly pension,https://treasury.telangana.gov.in
Punjab,Beti Bachao Beti Padhao,Financial security for girl child,Girl child born in Punjab,₹21000 on turning 18 years,https://pbplanning.gov.in
Punjab,Mata Tripta Mahila Rozgar Scheme,Employment for women,Women entrepreneurs,Interest subsidy on loans,https://punjab.gov.in
Haryana,Ladli Scheme,Financial security for girl child,Second girl child in family,₹5000 annually for 5 years,https://wcdhry.gov.in
Haryana,Beti Hai Anmol Yojana,Education support for girls,Girl students in Haryana,₹5000-12000 for education,https://haryanascbc.gov.in
Odisha,Mamata Scheme,Maternity benefit scheme,Pregnant and lactating women,₹5000 for first two live births,https://wcdodisha.gov.in
Odisha,Biju Kanya Ratna Yojana,Support for girl child education,Girl students in Odisha,Free education and stipend,https://scholarship.odisha.gov.in
Kerala,Kudumbashree Mission,Women empowerment through SHGs,Women in Kerala,Microfinance and skill training,https://kudumbashree.org
Kerala,Vayomithram Project,Support for senior women citizens,Women above 60 years,Healthcare and financial support,https://lsgkerala.gov.in
Madhya Pradesh,Ladli Laxmi Yojana,Financial security scheme for girls,Girl child in MP,₹1.18 lakh when girl turns 21,https://ladlilaxmi.mp.gov.in
Madhya Pradesh,Gaon Ki Beti Yojana,Scholarship for rural girls,Girl students from rural areas,₹500 monthly scholarship,https://scholarshipportal.mp.nic.in
Bihar,Mukhyamantri Kanya Utthan Yojana,Incentive for girl education,Girl students in Bihar,₹54100 from birth to graduation,https://edudept.bihar.gov.in
Bihar,Mukhyamantri Balika Cycle Yojana,Free bicycles for girls,Girl students in class 9-12,Free bicycle worth ₹3000,https://education.bih.nic.in
Jharkhand,Savitribai Phule Kishori Samridhi Yojana,Financial support for girls,Girls aged 8-18 years,₹40000 till age 18,https://jharkhand.gov.in
Jharkhand,Mukhyamantri Sukanya Yojana,Support for girl child,Girl child below 2 years,₹40000 on turning 18,https://wcd.jharkhand.gov.in
Assam,Mamoni Scheme,Maternity benefit for women,Pregnant women in Assam,₹12000 in installments,https://nhm.assam.gov.in
Assam,Apun Ghar Scheme,Housing for single women,Single women in Assam,Financial assistance for housing,https://assam.gov.in
Chhattisgarh,Mukhyamantri Kanya Vivah Yojana,Marriage assistance scheme,Women from poor families,₹25000 marriage assistance,https://cgwcd.gov.in
Chhattisgarh,Saraswati Cycle Yojana,Free cycles for girl students,Girl students in class 9,Free bicycle,https://eduportal.cg.nic.in
Uttarakhand,Nanda Gaura Scheme,Financial support for girls,Girl child in Uttarakhand,₹50000 on turning 21,https://wcd.uk.gov.in
Uttarakhand,Atal Ayushman Yojana,Health insurance for women,Women in Uttarakhand,₹5 lakh health cover,https://ayushmanbharat.uk.gov.in
Himachal Pradesh,Beti Hai Anmol Yojana,Financial support for girls,Girl students in HP,₹12000 for class 1-12,https://himachal.nic.in
Himachal Pradesh,Shagun Scheme,Marriage assistance,Women from SC/ST families,₹35000 one-time assistance,https://hp.gov.in
Goa,Griha Aadhar Scheme,Financial support for women,Women heads of households,₹1500-2000 monthly support,https://goa.gov.in
Goa,Laadli Laxmi Scheme,Support for girl child,Girl students in Goa,Education support and incentives,https://goaonline.gov.in
Jammu and Kashmir,Integrated Child Development Services,Support for mother and child,Pregnant women and children,Healthcare and nutrition support,https://jk.gov.in
Jammu and Kashmir,Beti Bachao Beti Padhao,Financial security for girls,Girl child in J&K,Education and health support,https://jkwomen.nic.in
